degree,Reclassified_School
Accountancy (4-years programme),"Accountancy, Business and Economics"
Accountancy (4-years programme) Cum Laude and above,"Accountancy, Business and Economics"
Accountancy (4-year programme),"Accountancy, Business and Economics"
Accountancy (4-year programme) Cum Laude and above,"Accountancy, Business and Economics"
Accountancy,"Accountancy, Business and Economics"
Accountancy Cum Laude and above,"Accountancy, Business and Economics"
Accountancy (Cum Laude and above),"Accountancy, Business and Economics"
Economics,"Accountancy, Business and Economics"
Accountancy and Business,"Accountancy, Business and Economics"
Accountancy (3-yr direct Honours Programme),"Accountancy, Business and Economics"
Business (3-yr direct Honours Programme),"Accountancy, Business and Economics"
Business and Computing,"Accountancy, Business and Economics"
Bachelor of Business Administration,"Accountancy, Business and Economics"
Bachelor of Business Administration (Hons),"Accountancy, Business and Economics"
Bachelor of Business Administration (Accountancy),"Accountancy, Business and Economics"
Bachelor of Business Administration (Accountancy) (Hons),"Accountancy, Business and Economics"
Business Management (4-years programme),"Accountancy, Business and Economics"
Business Management (4-years programme) Cum Laude and above,"Accountancy, Business and Economics"
Business Management (4-year programme),"Accountancy, Business and Economics"
Business Management (4-year programme) Cum Laude and above,"Accountancy, Business and Economics"
Business Management,"Accountancy, Business and Economics"
Business Management Cum Laude and above,"Accountancy, Business and Economics"
Accountancy,"Accountancy, Business and Economics"
Business,"Accountancy, Business and Economics"
Bachelor of Accountancy (Hons),"Accountancy, Business and Economics"
Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),"Accountancy, Business and Economics"
Bachelor of Business (Hons),"Accountancy, Business and Economics"
Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),"Accountancy, Business and Economics"
Business and Computing ^,"Accountancy, Business and Economics"
Bachelor of Business Administration (Accountancy) ^,"Accountancy, Business and Economics"
Business Management (Cum Laude and above),"Accountancy, Business and Economics"
Bachelor of Accountancy,"Accountancy, Business and Economics"
Bachelor of Science in Finance,"Accountancy, Business and Economics"
Bachelor of Science in Marketing,"Accountancy, Business and Economics"
Economics (4-years programme),"Accountancy, Business and Economics"
Economics (4-years programme) Cum Laude and above,"Accountancy, Business and Economics"
Economics (4-year programme),"Accountancy, Business and Economics"
Economics (4-year programme) Cum Laude and above,"Accountancy, Business and Economics"
Economics,"Accountancy, Business and Economics"
Economics Cum Laude and above,"Accountancy, Business and Economics"
Economics (Cum Laude and above),"Accountancy, Business and Economics"
Bachelor of Accountancy with Honours,"Accountancy, Business and Economics"
Bachelor of Hospitality Business with Honours ^,"Accountancy, Business and Economics"
Bachelor of Arts (Hons) (Education),Arts and Social Sciences
Bachelor of Arts with Honours,Arts and Social Sciences
"Art, Design & Media",Arts and Social Sciences
Chinese,Arts and Social Sciences
Communication Studies,Arts and Social Sciences
English,Arts and Social Sciences
Linguistics and Multilingual Studies,Arts and Social Sciences
Psychology,Arts and Social Sciences
Sociology,Arts and Social Sciences
Bachelor of Arts,Arts and Social Sciences
Bachelor of Arts (Hons),Arts and Social Sciences
Bachelor of Social Sciences,Arts and Social Sciences
Social Sciences (4-years programme),Arts and Social Sciences
Social Sciences (4-years programme) Cum Laude and above,Arts and Social Sciences
Social Sciences (4-year programme),Arts and Social Sciences
Social Sciences (4-year programme) Cum Laude and above,Arts and Social Sciences
Bachelor of Arts with Honours in Communication Design,Arts and Social Sciences
Bachelor of Arts with Honours in Interior Design,Arts and Social Sciences
Bachelor of Professional Studies in Culinary Arts Management,Arts and Social Sciences
Bachelor of Science (Major in Hospitality Management),Arts and Social Sciences
Bachelor of Science in Early Childhood Education,Arts and Social Sciences
Social Sciences,Arts and Social Sciences
Social Sciences Cum Laude and above,Arts and Social Sciences
History,Arts and Social Sciences
Public Policy And Global Affairs **,Arts and Social Sciences
Bachelor of Arts with Honours in Criminology and Security,Arts and Social Sciences
Bachelor of Science (Hons) (Sport Science & Management),Arts and Social Sciences
Linguistics & Multilingual Studies,Arts and Social Sciences
Philosophy,Arts and Social Sciences
Public Policy and Global Affairs,Arts and Social Sciences
Social Sciences (Cum Laude and above),Arts and Social Sciences
Bachelor of Arts (Architecture) # **,Arts and Social Sciences
Bachelor of Music **,Arts and Social Sciences
Bachelor of Music,Arts and Social Sciences
Bachelor of Arts (Architecture) ** #,Design and Environment
Bachelor of Arts (Industrial Design),Design and Environment
Bachelor of Science (Project and Facilities Management),Design and Environment
Bachelor of Science (Real Estate),Design and Environment
Bachelor of Arts (Architecture) #,Design and Environment
Bachelor of Environmental Studies,Design and Environment
Bachelor of Science (Architecture and Sustainable Design) ###,Design and Environment
Science (with Education),Education
Arts (with Education),Education
Aerospace Engineering,Engineering
Bioengineering,Engineering
Chemical and Biomolecular Engineering,Engineering
Computer Engineering,Engineering
Civil Engineering,Engineering
Computer Science,Engineering
Electrical and Electronic Engineering,Engineering
Environmental Engineering,Engineering
Information Engineering and Media,Engineering
Materials Engineering,Engineering
Mechanical Engineering,Engineering
Maritime Studies,Engineering
Bachelor of Engineering (Bioengineering),Engineering
Bachelor of Engineering (Chemical Engineering),Engineering
Bachelor of Engineering (Civil Engineering),Engineering
Bachelor of Engineering (Computer Engineering),Engineering
Bachelor of Engineering (Electrical Engineering),Engineering
Bachelor of Engineering (Engineering Science),Engineering
Bachelor of Engineering (Environmental Engineering),Engineering
Bachelor of Engineering (Industrial and Systems Engineering),Engineering
Bachelor of Engineering (Materials Science and Engineering),Engineering
Bachelor of Engineering (Mechanical Engineering),Engineering
Bachelor of Engineering (Biomedical Engineering) ^^,Engineering
Bachelor of Engineering with Honours in Chemical Engineering,Engineering
Bachelor of Engineering with Honours in Marine Engineering,Engineering
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Engineering
Bachelor of Engineering with Honours in Naval Architecture,Engineering
Bachelor of Engineering with Honours in Offshore Engineering,Engineering
Bachelor of Engineering with Honours in Aeronautical Engineering,Engineering
Bachelor of Engineering with Honours in Aerospace Systems,Engineering
Bachelor of Engineering with Honours in Mechanical Design Engineering,Engineering
Bachelor of Engineering with Honours in Mechatronics,Engineering
Aerospace Engineering and Economics **,Engineering
Business and Computer Engineering **,Engineering
Chemical And Biomolecular Engineering and Economics **,Engineering
Environmental Engineering and Economics **,Engineering
Information Engineering And Media and Economics **,Engineering
Mechanical Engineering and Economics **,Engineering
Bachelor of Engineering (Biomedical Engineering),Engineering
Bachelor of Engineering (Engineering Product Development),Engineering
Bachelor of Engineering (Engineering Systems and Design),Engineering
Bachelor of Engineering with Honours in Electrical Power Engineering,Engineering
Materials Engineering and Economics **,Engineering
Bachelor of Engineering (Hons) (Aerospace Engineering),Engineering
Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering
Bachelor of Engineering (Hons) (Bioengineering),Engineering
Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),Engineering
Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering
Bachelor of Engineering (Hons) (Civil Engineering),Engineering
Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering
Bachelor of Engineering (Hons) (Computer Engineering),Engineering
Bachelor of Engineering (Hons) (Computer Science),Engineering
Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering) **,Engineering
Bachelor of Engineering (Hons) (Electrical & Electronic Engineering),Engineering
Bachelor of Engineering (Hons) (Environmental Engineering),Engineering
Bachelor of Engineering (Hons) (Information Engineering & Media),Engineering
Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) and Bachelor of Arts (Hons) in Economics **,Engineering
Bachelor of Science (Hons) (Maritime Studies),Engineering
Bachelor of Engineering (Hons) (Materials Engineering),Engineering
Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering
Bachelor of Engineering (Hons) (Mechanical Engineering),Engineering
Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering
Bachelor of Fine Arts (Hons),Engineering
Bachelor of Arts (Hons) in Chinese,Engineering
Bachelor of Communication Studies (Hons),Engineering
Bachelor of Arts (Hons) in Economics,Engineering
Bachelor of Arts (Hons) in English,Engineering
Bachelor of Arts (Hons) in History,Engineering
Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,Engineering
Bachelor of Arts (Hons) in Philosophy **,Engineering
Bachelor of Arts (Hons) in Psychology,Engineering
Bachelor of Arts (Hons) in Public Policy And Global Affairs,Engineering
Bachelor of Arts (Hons) in Sociology,Engineering
Bachelor of Engineering with Honours in Marine Engineering ^,Engineering
Bachelor of Engineering with Honours in Naval Architecture ^,Engineering
Bachelor of Engineering with Honours in Offshore Engineering ^,Engineering
Chemical & Biomolecular Engineering,Engineering
Chemical & Biomolecular Engineering and Economics **,Engineering
Computer Engineering and Economics **,Engineering
Electrical & Electronic Engineering,Engineering
Information Engineering & Media,Engineering
Bachelor of Engineering (Engineering Science) **,Engineering
Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,Engineering
Bachelor of Engineering (Computer Engineering),Engineering
Bachelor of Laws (LLB) (Hons) #,Law
Law (4-years programme) #,Law
Law (4-years programme) Cum Laude and above #,Law
Law (4-year programme) #,Law
Law (4-year programme) Cum Laude and above #,Law
Bachelor of Laws (L.L.B) (Hons) #,Law
Law #,Law
Law Cum Laude and above #,Law
Bachelor of Laws #,Law
Law (Cum Laude and above) #,Law
Bachelor of Dental Surgery,"Medicine, Dentistry, Nursing"
Medicine ##,"Medicine, Dentistry, Nursing"
Bachelor of Medicine and Bachelor of Surgery (MBBS) #,"Medicine, Dentistry, Nursing"
Bachelor of Science (Nursing),"Medicine, Dentistry, Nursing"
Bachelor of Science (Nursing) (Hons),"Medicine, Dentistry, Nursing"
Bachelor of Medicine and Bachelor of Surgery #,"Medicine, Dentistry, Nursing"
Bachelor of Science with Honours in Nursing Practice,"Medicine, Dentistry, Nursing"
Bachelor of Medicine and Bachelor of Surgery # **,"Medicine, Dentistry, Nursing"
Bachelor of Science with Honours in Nursing,"Medicine, Dentistry, Nursing"
Bachelor of Science with Honours,Sciences
Biomedical Sciences **,Sciences
Biomedical Sciences (Traditional Chinese Medicine) #,Sciences
Biological Sciences,Sciences
Chemistry & Biological Chemistry,Sciences
Mathematics & Economics **,Sciences
Mathematical Science,Sciences
Physics / Applied Physics,Sciences
Sports Science and Management,Sciences
Bachelor of Applied Science **,Sciences
Bachelor of Applied Science (Hons),Sciences
Bachelor of Science,Sciences
Bachelor of Science (Hons),Sciences
Bachelor of Science (Computational Biology) **,Sciences
Bachelor of Science (Pharmacy) (Hons) #,Sciences
Biomedical Science **,Sciences
Biomedical Science (Traditional Chinese Medicine) #,Sciences
Mathematics & Economics,Sciences
Bachelor of Science with Honours in Food & Human Nutrition,Sciences
Bachelor in Science (Occupational Therapy),Sciences
Bachelor in Science (Physiotherapy),Sciences
Bachelor in Science (Radiation Therapy) **,Sciences
Biomedical Sciences & Chinese Medicine #,Sciences
Mathematical Sciences,Sciences
Bachelor of Science (Pharmacy)(Hons) #,Sciences
Bachelor of Science (Project and Facilities Management),Sciences
Bachelor of Science (Real Estate),Sciences
Bachelor of Science (Architecture and Sustainable Design) #,Sciences
Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #,Sciences
Bachelor of Science (Hons) in Biological Sciences,Sciences
Bachelor of Science (Hons) in Chemistry & Biological Chemistry,Sciences
Bachelor of Science (Hons) in Mathematical Sciences,Sciences
Bachelor of Science (Hons) in Mathematics & Economics,Sciences
Bachelor of Science (Hons) in Physics/Applied Physics,Sciences
Bachelor of Science (Hons) (Education),Sciences
Bachelor of Science (Pharmacy) #,Sciences
Bachelor of Science (Business Analytics),Sciences
Biomedical Sciences & Chinese Medicine # ^,Sciences
Environmental Earth Systems Science ^,Sciences
Physics & Applied Physics,Sciences
Bachelor of Science with Honours ^,Sciences
Bachelor of Science with Honours in Food and Human Nutrition,Sciences
Bachelor in Science (Diagnostic Radiography) ^,Sciences
Bachelor of Business Administration in Food Business Management,Sciences
Sports Science and Management,Sciences
Sport Science and Management,Sciences
Bachelor in Science (Diagnostic Radiography) **,Sciences
Bachelor of Computing (Communications and Media),"Technology, Computing and Information Systems"
Bachelor of Computing (Computational Biology) **,"Technology, Computing and Information Systems"
Bachelor of Computing (Computer Engineering) **,"Technology, Computing and Information Systems"
Bachelor of Computing (Computer Science),"Technology, Computing and Information Systems"
Bachelor of Computing (Electronic Commerce),"Technology, Computing and Information Systems"
Bachelor of Computing (Information Systems),"Technology, Computing and Information Systems"
Information Systems Management (4-years programme),"Technology, Computing and Information Systems"
Information Systems Management (4-years programme) Cum Laude and above,"Technology, Computing and Information Systems"
Information Systems Management (4-year programme),"Technology, Computing and Information Systems"
Information Systems Management (4-year programme) Cum Laude and above,"Technology, Computing and Information Systems"
Information Systems Management,"Technology, Computing and Information Systems"
Information Systems Management Cum Laude and above,"Technology, Computing and Information Systems"
Bachelor of Engineering (Information Systems Technology and Design),"Technology, Computing and Information Systems"
Bachelor of Science with Honours in Computing Science,"Technology, Computing and Information Systems"
Bachelor of Computing (Communications And Media) **,"Technology, Computing and Information Systems"
Bachelor of Computing (Electronic Commerce) **,"Technology, Computing and Information Systems"
Bachelor of Computing (Information Security) **,"Technology, Computing and Information Systems"
Information Systems,"Technology, Computing and Information Systems"
Information Systems (Cum Laude and above),"Technology, Computing and Information Systems"
Bachelor of Arts in Game Design,"Technology, Computing and Information Systems"
Bachelor of Fine Arts in Digital Arts & Animation,"Technology, Computing and Information Systems"
Bachelor of Science in Computer Science & Game Design,"Technology, Computing and Information Systems"
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,"Technology, Computing and Information Systems"
Bachelor of Science in Chemical Engineering,Sciences
Bachelor of Science in Electrical Engineering & Information Technology,Sciences
Bachelor of Arts in Game Design **,"Technology, Computing and Information Systems"
Bachelor of Science in Computer Science & Game Design **,"Technology, Computing and Information Systems"
Bachelor in Science (Diagnostic Radiography),Sciences
Bachelor in Science (Occupational Therapy),Sciences
Bachelor in Science (Physiotherapy),Sciences
Bachelor in Science (Radiation Therapy) **,Sciences
Bachelor of Arts in Game Design ^,"Technology, Computing and Information Systems"
Bachelor of Fine Arts in Digital Arts & Animation ^,"Technology, Computing and Information Systems"
Bachelor of Science in Computer Science & Game Design ^,"Technology, Computing and Information Systems"
Bachelor of Fine Arts in Digital Art and Animation,"Technology, Computing and Information Systems"
Bachelor of Science in Computer Science and Game Design ^,"Technology, Computing and Information Systems"
Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) ^,"Technology, Computing and Information Systems"
Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),"Technology, Computing and Information Systems"
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),"Technology, Computing and Information Systems"
Bachelor of Hospitality Business with Honours,"Technology, Computing and Information Systems"
